year,mineral,country,is_rare_earth,end_use,mine_production_tonnes,production_share_pct,reserves_tonnes,years_of_reserves,refined_share_pct,price_usd_per_tonne,demand_growth_pct,export_control_active,hhi,top_country_share_pct,supply_risk_score,high_supply_risk,disruption,disruption_next_year
2015,Antimony,Australia,0,flame_ret,5853.8,3.97,123696.0,21.1,3.18,11340.82,10.4,0,0.3796,57.75,28.2,0,0,0.0
2016,Antimony,Australia,0,flame_ret,6385.8,3.95,215205.0,33.7,3.16,11738.55,7.9,0,0.3549,52.35,29.1,0,0,0.0
2017,Antimony,Australia,0,flame_ret,6342.4,3.75,379889.0,59.9,3.0,10595.2,7.1,0,0.3604,52.93,23.3,0,0,0.0
2018,Antimony,Australia,0,flame_ret,7178.8,4.09,86793.0,12.1,3.27,11535.79,9.2,0,0.3784,58.15,41.5,0,0,0.0
2019,Antimony,Australia,0,flame_ret,6516.7,3.89,167755.0,25.7,3.11,11603.62,6.0,0,0.388,57.97,28.9,0,0,0.0
2020,Antimony,Australia,0,flame_ret,6942.6,3.75,156639.0,22.6,3.0,11562.73,4.2,0,0.3812,58.08,25.6,0,0,0.0
2021,Antimony,Australia,0,flame_ret,6885.0,3.74,363299.0,52.8,2.99,13183.21,9.8,0,0.3624,52.42,26.4,0,0,0.0
2022,Antimony,Australia,0,flame_ret,8097.7,4.0,417485.0,51.6,3.2,11985.2,2.9,0,0.3835,58.8,24.6,0,0,0.0
2023,Antimony,Australia,0,flame_ret,8052.9,3.85,136276.0,16.9,3.08,14404.84,8.3,0,0.3571,52.01,32.8,0,0,0.0
2024,Antimony,Australia,0,flame_ret,7595.8,3.74,335037.0,44.1,2.99,12581.56,2.1,0,0.3654,54.33,27.7,0,0,0.0
2025,Antimony,Australia,0,flame_ret,8830.6,4.1,304633.0,34.5,3.28,15195.77,8.7,0,0.3641,53.92,31.3,0,0,0.0
2026,Antimony,Australia,0,flame_ret,8929.6,3.75,368775.0,41.3,3.0,14063.78,2.1,0,0.3577,51.17,27.9,0,0,
2015,Antimony,China,0,flame_ret,85131.4,57.75,2155057.0,25.3,86.62,11340.82,1.3,0,0.3796,57.75,35.6,0,0,0.0
2016,Antimony,China,0,flame_ret,84696.7,52.35,3080046.0,36.4,78.53,11738.55,4.6,0,0.3549,52.35,38.0,0,0,0.0
2017,Antimony,China,0,flame_ret,89474.8,52.93,1109999.0,12.4,79.4,10595.2,7.2,0,0.3604,52.93,35.3,0,0,0.0
2018,Antimony,China,0,flame_ret,102056.0,58.15,3618812.0,35.5,87.23,11535.79,6.8,0,0.3784,58.15,46.0,0,0,0.0
2019,Antimony,China,0,flame_ret,97084.7,57.97,3163332.0,32.6,86.96,11603.62,6.6,0,0.388,57.97,36.9,0,0,0.0
2020,Antimony,China,0,flame_ret,107555.4,58.08,4393230.0,40.8,87.12,11562.73,7.0,0,0.3812,58.08,37.3,0,0,0.0
2021,Antimony,China,0,flame_ret,96590.5,52.42,2833914.0,29.3,78.63,13183.21,8.0,0,0.3624,52.42,36.1,0,0,0.0
2022,Antimony,China,0,flame_ret,119112.3,58.8,3370760.0,28.3,88.2,11985.2,6.4,0,0.3835,58.8,34.1,0,0,0.0
2023,Antimony,China,0,flame_ret,108693.1,52.01,4599909.0,42.3,78.02,14404.84,5.1,0,0.3571,52.01,33.4,0,0,1.0
2024,Antimony,China,0,flame_ret,110472.4,54.33,1564610.0,14.2,81.49,12581.56,3.6,1,0.3654,54.33,61.3,1,1,0.0
2025,Antimony,China,0,flame_ret,116015.9,53.92,6788006.0,58.5,80.88,15195.77,6.0,1,0.3641,53.92,46.7,0,0,0.0
2026,Antimony,China,0,flame_ret,121750.6,51.17,6024443.0,49.5,76.75,14063.78,3.6,1,0.3577,51.17,54.4,1,0,
2015,Antimony,Myanmar,0,flame_ret,8779.9,5.96,473924.0,54.0,4.76,11340.82,3.6,0,0.3796,57.75,36.5,0,0,0.0
2016,Antimony,Myanmar,0,flame_ret,9816.2,6.07,467761.0,47.7,4.85,11738.55,2.0,0,0.3549,52.35,35.3,0,0,0.0
2017,Antimony,Myanmar,0,flame_ret,10307.6,6.1,183068.0,17.8,4.88,10595.2,8.8,0,0.3604,52.93,41.2,0,0,0.0
2018,Antimony,Myanmar,0,flame_ret,11135.7,6.35,316975.0,28.5,5.08,11535.79,8.0,0,0.3784,58.15,40.1,0,0,0.0
2019,Antimony,Myanmar,0,flame_ret,10237.6,6.11,273924.0,26.8,4.89,11603.62,1.4,0,0.388,57.97,40.2,0,0,0.0
2020,Antimony,Myanmar,0,flame_ret,11396.2,6.15,430982.0,37.8,4.92,11562.73,6.2,0,0.3812,58.08,43.1,0,0,0.0
2021,Antimony,Myanmar,0,flame_ret,11283.7,6.12,476424.0,42.2,4.9,13183.21,5.0,0,0.3624,52.42,33.5,0,0,0.0
2022,Antimony,Myanmar,0,flame_ret,12736.5,6.29,300899.0,23.6,5.03,11985.2,8.1,0,0.3835,58.8,38.0,0,0,0.0
2023,Antimony,Myanmar,0,flame_ret,12501.5,5.98,574340.0,45.9,4.79,14404.84,5.6,0,0.3571,52.01,28.9,0,0,0.0
2024,Antimony,Myanmar,0,flame_ret,11685.3,5.75,602491.0,51.6,4.6,12581.56,9.8,0,0.3654,54.33,34.6,0,0,0.0
2025,Antimony,Myanmar,0,flame_ret,12593.2,5.85,184040.0,14.6,4.68,15195.77,7.9,0,0.3641,53.92,36.3,0,0,0.0
2026,Antimony,Myanmar,0,flame_ret,14869.0,6.25,233887.0,15.7,5.0,14063.78,6.9,0,0.3577,51.17,36.8,0,0,
2015,Antimony,Russia,0,flame_ret,30766.0,20.87,1507096.0,49.0,16.7,11340.82,6.5,0,0.3796,57.75,38.1,0,0,0.0
2016,Antimony,Russia,0,flame_ret,34182.4,21.13,535160.0,15.7,16.9,11738.55,3.4,0,0.3549,52.35,40.3,0,0,0.0
2017,Antimony,Russia,0,flame_ret,35751.4,21.15,811771.0,22.7,16.92,10595.2,7.3,0,0.3604,52.93,29.2,0,0,0.0
2018,Antimony,Russia,0,flame_ret,35867.7,20.44,908497.0,25.3,16.35,11535.79,7.2,0,0.3784,58.15,42.1,0,0,0.0
2019,Antimony,Russia,0,flame_ret,31319.0,18.7,1386707.0,44.3,14.96,11603.62,9.7,0,0.388,57.97,48.1,0,0,0.0
2020,Antimony,Russia,0,flame_ret,35860.2,19.36,1642234.0,45.8,15.49,11562.73,3.1,0,0.3812,58.08,32.7,0,0,0.0
2021,Antimony,Russia,0,flame_ret,36336.7,19.72,1500541.0,41.3,15.78,13183.21,2.3,0,0.3624,52.42,38.4,0,0,0.0
2022,Antimony,Russia,0,flame_ret,41914.1,20.69,719904.0,17.2,16.55,11985.2,7.3,0,0.3835,58.8,46.0,0,0,0.0
2023,Antimony,Russia,0,flame_ret,43776.3,20.95,1160121.0,26.5,16.76,14404.84,3.7,0,0.3571,52.01,26.6,0,0,0.0
2024,Antimony,Russia,0,flame_ret,42155.0,20.73,2098876.0,49.8,16.58,12581.56,7.7,0,0.3654,54.33,40.4,0,0,0.0
2025,Antimony,Russia,0,flame_ret,44001.7,20.45,2460141.0,55.9,16.36,15195.77,1.1,0,0.3641,53.92,42.1,0,0,0.0
2026,Antimony,Russia,0,flame_ret,49315.9,20.73,2792186.0,56.6,16.58,14063.78,1.4,0,0.3577,51.17,36.6,0,0,
2015,Antimony,Tajikistan,0,flame_ret,21402.5,14.52,236123.0,11.0,11.61,11340.82,10.6,0,0.3796,57.75,42.5,0,0,0.0
2016,Antimony,Tajikistan,0,flame_ret,25143.8,15.54,901806.0,35.9,12.43,11738.55,8.6,0,0.3549,52.35,26.5,0,0,0.0
2017,Antimony,Tajikistan,0,flame_ret,25246.0,14.94,619454.0,24.5,11.95,10595.2,5.6,0,0.3604,52.93,29.2,0,0,0.0
2018,Antimony,Tajikistan,0,flame_ret,25813.7,14.71,920998.0,35.7,11.77,11535.79,0.0,0,0.3784,58.15,36.0,0,0,0.0
2019,Antimony,Tajikistan,0,flame_ret,24332.3,14.53,942440.0,38.7,11.62,11603.62,5.1,0,0.388,57.97,31.4,0,0,0.0
2020,Antimony,Tajikistan,0,flame_ret,29053.3,15.69,940907.0,32.4,12.55,11562.73,6.9,0,0.3812,58.08,31.4,0,0,0.0
