mineral,is_rare_earth,end_use,avg_top_country_share,n_producers
Antimony,0,flame_ret,55.0,5
Cerium,1,catalyst,62.4,5
Cobalt,0,battery,70.6,7
Copper,0,grid,34.0,9
Dysprosium,1,magnet,85.8,4
Gallium,0,semiconductor,94.8,4
Germanium,0,semiconductor,80.2,5
Graphite,0,battery,63.4,6
Indium,0,display,57.8,5
Lanthanum,1,catalyst,64.0,5
Lithium,0,battery,40.3,5
Manganese,0,battery,34.4,7
Neodymium,1,magnet,70.3,5
Nickel,0,battery,35.9,8
Niobium,0,alloy,88.3,3
Palladium,0,catalyst,40.0,5
Platinum,0,catalyst,70.9,5
Praseodymium,1,magnet,72.9,5
Tantalum,0,capacitor,39.8,6
Terbium,1,magnet,88.2,3
Tin,0,solder,30.1,8
Tungsten,0,alloy,82.5,6
Vanadium,0,alloy,53.3,4
Yttrium,1,phosphor,77.3,4
